goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2005	value_2010	value_2015	value_latest_year	latest_year
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	11.15422	13.63676	15.23916	17.17181	17.17181	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	26.33755	17.03283	17.03283	17.03283	17.03283	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	15.88523	17.21484	17.35479	18.96431	18.96431	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	3.9801	3.99473	3.84841	3.84841	3.84841	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	31.47475	31.72042	31.96613	32.21183	32.21183	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412		PT	Percentage			G	Global	[2000]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data		19.50186	19.50186	19.50186	19.50186	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073		PT	Percentage			G	Global		[2000,2005,2010]: Country data submitted to FAO, Data rounded to 100% // [2015]: Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	100.0	100.0	100.0	100.0	100.0	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905																		
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	30.93014	37.59873	41.48353	41.78543	41.78543	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	No Data; Not relevant	FAO, Global Forest Resources Assessment		N: Non-relevant						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719		PT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	0.0	0.0	0.0	0.0	0.0	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984		PT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	5.0	5.0	5.0	5.0	5.0	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	100	Bulgaria	151	Eastern Europe	Country	BGR	1	25.23763153	42.75731323		PT	Percentage			G	Global	[2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	6.40858	7.29793	14.96207			2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	104	Myanmar	035	South-Eastern Asia	Country	MMR	1	96.51752295	21.19332882		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	4.20096	16.87614	7.16573	15.37826	15.37826	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	108	Burundi	014	Eastern Africa	Country	BDI	1	29.89080992	-3.366387428		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	37.31884	37.31884	50.58333	56.38043	56.38043	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	112	Belarus	151	Eastern Europe	Country	BLR	1	28.04940161	53.54193075		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	5.64082	13.67927	13.99201	15.86031	15.86031	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	116	Cambodia	035	South-Eastern Asia	Country	KHM	1	104.922836	12.71163737		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	33.66818	33.18177	32.69536	32.69536	32.69536	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	120	Cameroon	017	Middle Africa	Country	CMR	1	12.7419827	5.692387031		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	31.88776	33.87011	48.38967	48.38967	48.38967	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	124	Canada	021	Northern America	Country	CAN	1	-101.6575058	57.72360191		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	6.89315	6.89315	6.89315	6.89315	6.89315	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	132	Cabo Verde	011	Western Africa	Country	CPV	1	-23.63544151	15.07791834		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	3.84414	3.84414	3.84414	3.84414	3.84414	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	136	Cayman Islands	029	Caribbean	Country	CYM	0	-81.16740559	19.32266656		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	140	Central African Republic	017	Middle Africa	Country	CAF	1	20.93559492	7.003720791		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	1.11412	1.11412	1.11412	1.11412	1.11412	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	144	Sri Lanka	034	Southern Asia	Country	LKA	1	80.70489654	7.614693343		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	148	Chad	017	Middle Africa	Country	TCD	1	18.66618401	15.36279341		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	152	Chile	005	South America	Country	CHL	1	-71.23029019	-35.2652885		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	22.07499	22.50916	22.50916	20.84579	20.84579	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	156	China	030	Eastern Asia	Country	CHN	1	104.1403375	32.30955217		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	7.78096	11.43973	12.97097	13.48734	13.48734	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	162	Christmas Island	053	Australia and New Zealand	Country	CXR	0	105.6426067	-10.4882473		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	No Data; Not relevant	FAO, Global Forest Resources Assessment		N: Non-relevant						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	166	Cocos (Keeling) Islands	053	Australia and New Zealand	Country	CCK	0	96.82633757	-12.18600682		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	No Data; Not relevant	FAO, Global Forest Resources Assessment		N: Non-relevant						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	170	Colombia	005	South America	Country	COL	1	-73.07446751	3.888209046		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	12.42736	14.40296	16.93924	17.98801	17.98801	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	174	Comoros	014	Eastern Africa	Country	COM	1	43.34234565	-11.66121732		PT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	0.0	0.0	0.0	0.0	0.0	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	175	Mayotte	014	Eastern Africa	Country	MYT	0	45.14015057	-12.82217691		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA	[2000,2005,2010]: NA = A figure was not provided. // [2015]: FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data				31.4433	31.4433	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	178	Congo	011	Western Africa	Country	COG	1	15.22052612	-0.840544119		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	4.45061	4.4327	4.41479	4.41479	4.41479	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	180	Democratic Republic of the Congo	017	Middle Africa	Country	COD	1	23.65496507	-2.877154732		PT	Percentage			G	Global	[2000]: NA // [2005]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data			10.68109	15.92431	15.92431	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	184	Cook Islands	061	Polynesia	Country	COK	0	-159.7711391	-21.22696458		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	188	Costa Rica	013	Central America	Country	CRI	1	-84.19712782	9.970998683		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data				49.14731	49.14731	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	191	Croatia	039	Southern Europe	Country	HRV	1	17.95874553	45.45172212		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	2.02914	2.44537	2.80957	2.80957	2.80957	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	192	Cuba	029	Caribbean	Country	CUB	1	-79.54460144	22.10030366		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	12.3125	15.4375	18.0	20.25	20.25	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	196	Cyprus	145	Western Asia	Country	CYP	1	33.22285964	35.05659437		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	8.08975	9.74812	9.74812	9.74812	9.74812	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	203	Czechia	151	Eastern Europe	Country	CZE	1	15.33151382	49.73913871		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	26.24672	27.59655	27.52156	27.85902	27.85902	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	204	Benin	011	Western Africa	Country	BEN	1	2.339933594	9.65401646		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	58.50151	58.50151	58.50151	58.50151	58.50151	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	208	Denmark	154	Northern Europe	Country	DNK	1	9.326571283	56.03829721		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	3.5936	5.71709	5.88043	5.88043	5.88043	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	212	Dominica	029	Caribbean	Country	DMA	1	-61.3493756	15.43391378		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	214	Dominican Republic	029	Caribbean	Country	DOM	1	-70.49847576	18.89832088		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	218	Ecuador	005	South America	Country	ECU	1	-78.37005241	-1.447785891		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	25.1047	25.3809	25.65711	25.93331	25.93331	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	222	El Salvador	013	Central America	Country	SLV	1	-88.86862995	13.73603564		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	12.07547	12.07547	12.07547	12.07547	12.07547	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	226	Equatorial Guinea	017	Middle Africa	Country	GNQ	1	10.46535826	1.565792376		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	17.47449	17.47449	17.47449	17.47449	17.47449	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	231	Ethiopia	014	Eastern Africa	Country	ETH	1	39.63505296	8.631223181		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	232	Eritrea	014	Eastern Africa	Country	ERI	1	38.11074289	16.12894644		PT	Percentage			G	Global	[2000]: NA // [2005]: NA	[2000,2005]: NA = A figure was not provided. // [2010,2015]: FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data			3.64238	3.64238	3.64238	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	233	Estonia	154	Northern Europe	Country	EST	1	25.84093481	58.68487172		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	6.3172	8.28853	10.21505	10.70789	10.70789	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	234	Faroe Islands	154	Northern Europe	Country	FRO	0	-7.122044325	62.21228119		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	238	Falkland Islands (Malvinas)	005	South America	Country	FLK	0	-58.75246778	-51.74562601		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	NA = A figure was not provided.	FAO, Global Forest Resources Assessment		E: Estimated data						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	239	South Georgia and the South Sandwich Islands	005	South America	Country	SGS	0	-36.90662765	-54.20736749		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	No Data; Not relevant	FAO, Global Forest Resources Assessment		N: Non-relevant						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	242	Fiji	054	Melanesia	Country	FJI	1	177.9660884	-17.83301566		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	29.88611	29.88611	5.50534	5.50534	5.50534	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	246	Finland	154	Northern Europe	Country	FIN	1	23.308447	61.91586738		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	16.30292	17.38336	17.68303	17.68303	17.68303	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	248	Åland Islands	154	Northern Europe	Country	ALA	0	19.80945969	60.1544901		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	No Data; Not relevant	FAO, Global Forest Resources Assessment		N: Non-relevant						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	250	France	155	Western Europe	Country	FRA	1	2.457288129	46.62660861		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2015]: NA	Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data			2.87245			2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	254	French Guiana	005	South America	Country	GUF	0	-53.23619089	3.922673437		PT	Percentage			G	Global		Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	0.0492	0.0492	29.7417	28.79459	28.79459	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	258	French Polynesia	061	Polynesia	Country	PYF	0	-149.4052367	-17.67709294		PT	Percentage			G	Global	[2000]: NA	[2000]: NA = A figure was not provided. // [2005,2010,2015]: FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data		4.51613	4.51613	4.51613	4.51613	2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	260	French Southern Territories	014	Eastern Africa	Country	ATF	0	69.64849091	-49.6068576		PT	Percentage			G	Global	[2000]: NA // [2005]: NA // [2010]: NA // [2015]: NA	No Data; Not relevant	FAO, Global Forest Resources Assessment		N: Non-relevant						2015
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	2019.Q3.G.01	262	Djibouti	014	Eastern Africa	Country	DJI	1	42.18274707	11.56004161		PT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	0.0	0.0	0.0	0.0	0.0	2015
